skewness,song,spectral_rolloff,energy,spread,centroid,zcr,genre,kurtosis
3.007979e+00,electronic_vs_classical/02 - The game of love.mp3,1.651328e+03,1.806152e-01,2.078517e+03,1.213085e+03,3.100586e-02,electronic,6.654380e+00
7.056211e-01,electronic_vs_classical/02 - The game of love.mp3,1.009100e+04,1.712067e-01,3.609691e+03,3.602669e+03,3.359985e-02,electronic,-1.275908e+01
1.981181e+00,electronic_vs_classical/02 - The game of love.mp3,5.881256e+02,2.181205e-01,3.033374e+03,1.685802e+03,2.102661e-02,electronic,2.522212e-01
2.737725e+00,electronic_vs_classical/02 - The game of love.mp3,8.801697e+02,1.204594e-01,2.447094e+03,1.209589e+03,1.242065e-02,electronic,5.152376e+00
6.453926e+00,electronic_vs_classical/04 - Within.mp3,1.051089e+03,6.235631e-02,1.210343e+03,6.655464e+02,2.075195e-02,electronic,4.757653e+01
2.224024e+00,electronic_vs_classical/04 - Within.mp3,6.998291e+02,1.209506e-01,2.885667e+03,1.525833e+03,1.473999e-02,electronic,1.496823e+00
2.141564e+00,electronic_vs_classical/04 - Within.mp3,5.248718e+02,1.618700e-01,2.969120e+03,1.532535e+03,1.187134e-02,electronic,1.206178e+00
2.037096e+00,electronic_vs_classical/04 - Within.mp3,4.172058e+02,1.421083e-01,3.194897e+03,1.634493e+03,1.034546e-02,electronic,7.279488e-01
7.431621e-01,electronic_vs_classical/04 - Within.mp3,1.493731e+04,1.324153e-01,4.525340e+03,3.776270e+03,6.594849e-02,electronic,-8.252528e+00
1.506078e+00,electronic_vs_classical/04 - Within.mp3,4.958020e+03,2.247876e-01,2.563522e+03,2.223956e+03,3.530884e-02,electronic,-5.837163e+00
1.754276e+00,electronic_vs_classical/04 - Within.mp3,6.998291e+02,1.994611e-01,3.265972e+03,1.917858e+03,1.510620e-02,electronic,-1.077291e+00
8.635326e-01,electronic_vs_classical/04 - Within.mp3,1.047052e+03,1.601570e-01,3.949500e+03,3.236575e+03,2.929688e-02,electronic,-7.541613e+00
2.710126e-01,electronic_vs_classical/04 - Within.mp3,1.402081e+04,1.348202e-01,4.117118e+03,4.720166e+03,5.227661e-02,electronic,-1.969468e+01
2.446366e+00,electronic_vs_classical/04 - Within.mp3,3.122314e+02,2.183291e-01,2.849929e+03,1.238358e+03,7.659912e-03,electronic,3.282902e+00
0.000000e+00,electronic_vs_classical/06-beethoven-moonlight-atm.mp3,2.183063e+04,0.000000e+00,4.729942e+03,8.192000e+03,0.000000e+00,classical,-7.317583e+01
4.932610e+00,electronic_vs_classical/06-beethoven-moonlight-atm.mp3,6.634918e+02,5.407361e-03,2.151870e+03,7.404844e+02,1.626587e-02,classical,2.403758e+01
8.307873e+00,electronic_vs_classical/06-beethoven-moonlight-atm.mp3,1.078006e+03,2.492657e-02,1.052628e+03,6.411776e+02,1.989746e-02,classical,8.731382e+01
8.756718e+00,electronic_vs_classical/06-beethoven-moonlight-atm.mp3,1.487137e+03,1.892975e-02,1.072853e+03,7.587222e+02,4.089355e-02,classical,8.973023e+01
6.584434e+00,electronic_vs_classical/06-beethoven-moonlight-atm.mp3,9.959106e+02,8.387730e-03,1.615673e+03,6.332370e+02,2.114868e-02,classical,4.543278e+01
9.260482e+00,electronic_vs_classical/06-beethoven-moonlight-atm.mp3,1.117035e+03,1.334280e-02,1.139006e+03,4.774147e+02,1.730347e-02,classical,9.506382e+01
8.542223e+00,electronic_vs_classical/06-beethoven-moonlight-atm.mp3,1.106268e+03,1.933548e-02,1.211827e+03,5.158699e+02,1.641846e-02,classical,8.133329e+01
7.907141e+00,electronic_vs_classical/06-beethoven-moonlight-atm.mp3,7.294373e+02,1.693747e-02,1.370370e+03,4.746734e+02,1.159668e-02,classical,6.702713e+01
8.153188e+00,electronic_vs_classical/06-beethoven-moonlight-atm.mp3,1.047052e+03,1.499842e-02,1.301536e+03,4.934949e+02,1.461792e-02,classical,7.244802e+01
0.000000e+00,electronic_vs_classical/06-beethoven-moonlight-atm.mp3,2.183063e+04,0.000000e+00,4.729942e+03,8.192000e+03,0.000000e+00,classical,-7.317583e+01
1.415473e+00,electronic_vs_classical/05 - Instant crush.mp3,1.104922e+03,1.407127e-01,3.381482e+03,2.350945e+03,1.760864e-02,electronic,-3.579807e+00
6.702641e-01,electronic_vs_classical/05 - Instant crush.mp3,1.072084e+04,1.800123e-01,3.525708e+03,3.547163e+03,5.596924e-02,electronic,-1.302485e+01
8.126168e-01,electronic_vs_classical/05 - Instant crush.mp3,9.735699e+03,1.874342e-01,3.472919e+03,3.313985e+03,3.610229e-02,electronic,-1.098476e+01
6.087495e-01,electronic_vs_classical/05 - Instant crush.mp3,1.098866e+04,1.962979e-01,3.539192e+03,3.644179e+03,4.431152e-02,electronic,-1.400268e+01
1.584968e+00,electronic_vs_classical/05 - Instant crush.mp3,2.906982e+03,2.437508e-01,3.138985e+03,2.199248e+03,3.408813e-02,electronic,-3.088374e+00
7.963071e-01,electronic_vs_classical/05 - Instant crush.mp3,9.850095e+03,2.335074e-01,3.452554e+03,3.387936e+03,3.863525e-02,electronic,-1.187077e+01
